Name_ID,Name,Female,Male,Sex,Age,Class/Dept,Class,Ticket,Joined,Occupation,Boat [Body],Price,Job,Survived,URL,Last,Title,First,DoB,Year_Birth,Date_Death,DoB_Clean,Age_F_Code,Age_F,sibsp,parch
1532,"PANULA, Master Eino Viljam ",0,1,male,1,3rd Class Passenger,3,3101295,Southampton,,  ,£39 13s 9d,,0,/titanic-victim/eino-viljam-panula.html,PANULA,Master,Eino Viljam,3-10-1911,,4-15-1912,3-10-1911,C,1,4,1
1778,"SANDSTRöM, Miss Beatrice Irene ",1,0,female,1,3rd Class Passenger,3,9549,Southampton,,13,£16 14s,,1,/titanic-survivor/beatrice-irene-sandstrom.html,SANDSTRöM,Miss,Beatrice Irene,8-09-1910,,9-03-1995,8-09-1910,C,1,1,1
36,"ALLISON, Miss Helen Loraine ",1,0,female,2,1st Class Passenger,1,113781,Southampton,,  ,£151 16s,,0,/titanic-victim/loraine-allison.html,ALLISON,Miss,Helen Loraine,6-05-1909,,4-15-1912,6-05-1909,C,2,1,2
49,"ANDERSSON, Miss Ellis Anna Maria ",1,0,female,2,3rd Class Passenger,3,347082,Southampton,,  ,£31 5s 6d,,0,/titanic-victim/ellis-anna-maria-andersson.html,ANDERSSON,Miss,Ellis Anna Maria,1-19-1910,,4-15-1912,1-19-1910,C,2,4,2
912,"HIRVONEN, Miss Hildur Elisabeth ",1,0,female,2,3rd Class Passenger,3,3101298,Southampton,,15,£12 5s 9d,,1,/titanic-survivor/hildur-hirvonen.html,HIRVONEN,Miss,Hildur Elisabeth,2-15-1910,,4-12-1956,2-15-1910,C,2,0,1
1433,"NAVRATIL, Master Edmond Roger ",0,1,male,2,2nd Class Passenger,2,230080,Southampton,,D ,£26,,1,/titanic-survivor/edmond-roger-navratil.html,NAVRATIL,Master,Edmond Roger,3-05-1910,, ,3-05-1910,C,2,1,1
1527,"PåLSSON, Master Gösta Leonard ",0,1,male,2,3rd Class Passenger,3,349909,Southampton,,  ,£21 1s 6d,,0,/titanic-victim/gosta-leonard-palsson.html,PåLSSON,Master,Gösta Leonard,1-03-1910,,4-15-1912,1-03-1910,C,2,3,1
1535,"PANULA, Master Urho Abraham ",0,1,male,2,3rd Class Passenger,3,3101295,Southampton,,  ,£39 13s 9d,,0,/titanic-victim/urho-abraham-panula.html,PANULA,Master,Urho Abraham,4-25-1909,,4-15-1912,4-25-1909,C,2,4,1
1587,"PETER / JOSEPH, Miss Anna (""Mary Joseph"") ",1,0,female,2,3rd Class Passenger,3,2668,Cherbourg,,C ,£22 7s 2d,,1,/titanic-survivor/anna-mary-joseph-peter-joseph.html,PETER / JOSEPH,Miss,"Anna (""Mary Joseph"")",8-21-1909,,3-22-1914,8-21-1909,C,2,1,1
1645,"QUICK, Miss Phyllis May ",1,0,female,2,2nd Class Passenger,2,26360,Southampton,,11,£26,,1,/titanic-survivor/phyllis-may-quick.html,QUICK,Miss,Phyllis May,7-27-1909,,3-15-1954,7-27-1909,C,2,1,1
1675,"RICE, Master Eugene Francis ",0,1,male,2,3rd Class Passenger,3,382652,Queenstown,,  ,£29 2s 6d,,0,/titanic-victim/eugene-francis-rice.html,RICE,Master,Eugene Francis,10-13-1909,,4-15-1912,10-13-1909,C,2,4,1
1717,"ROSBLOM, Miss Salli Helena ",1,0,female,2,3rd Class Passenger,3,370129,Southampton,,  ,£20 4s 3d,,0,/titanic-victim/salli-helena-rosblom.html,ROSBLOM,Miss,Salli Helena,2-25-1910,,4-15-1912,2-25-1910,C,2,1,1
1855,"SKOOG, Miss Margit Elizabeth ",1,0,female,2,3rd Class Passenger,3,347088,Southampton,,  ,£27 18s,,0,/titanic-victim/margit-elizabeth-skoog.html,SKOOG,Miss,Margit Elizabeth,4-14-1910,,4-15-1912,4-14-1910,C,2,3,2
1938,"STRöM, Miss Telma Matilda ",1,0,female,2,3rd Class Passenger,3,347054,Southampton,,  ,£10 9s 3d,,0,/titanic-victim/telma-matilda-strom.html,STRöM,Miss,Telma Matilda,12-15-1909,,4-15-1912,12-15-1909,C,2,0,1
2113,"WELLS, Master Ralph Lester ",0,1,male,2,2nd Class Passenger,2,29103,Southampton,,14,£23,,1,/titanic-survivor/ralph-lester-wells.html,WELLS,Master,Ralph Lester,12-15-1909,,9-27-1972,12-15-1909,C,2,1,1
79,"ASPLUND, Master Edvin Rojj Felix ",0,1,male,3,3rd Class Passenger,3,347077,Southampton,,15,£31 7s 9d,,1,/titanic-survivor/edvin-rojj-felix-asplund.html,ASPLUND,Master,Edvin Rojj Felix,3-19-1909,,3-01-1983,3-19-1909,C,3,4,2
100,"BACLINI, Miss Eugenie ",1,0,female,3,3rd Class Passenger,3,2666,Cherbourg,,C ,£19 5s 2d,,1,/titanic-survivor/eugenie-baclini.html,BACLINI,Miss,Eugenie,,,8-30-1912,,A,3,2,1
458,"COUTTS, Master Neville Leslie ",0,1,male,3,3rd Class Passenger,3,37671,Southampton,,2,£15 18s,,1,/titanic-survivor/leslie-coutts.html,COUTTS,Master,Neville Leslie,10-23-1908,,3-29-1977,10-23-1908,C,3,1,1
1148,"LAROCHE, Miss Simonne Marie Anne Andrée ",1,0,female,3,2nd Class Passenger,2,2123,Cherbourg,,14,£41 11s 7d,,1,/titanic-survivor/simonne-laroche.html,LAROCHE,Miss,Simonne Marie Anne Andrée,2-19-1909,,8-08-1973,2-19-1909,C,3,1,2
1164,"LEFEBVRE, Miss Ida ",1,0,female,3,3rd Class Passenger,3,4133,Southampton,,  ,£25 9s 4d,,0,/titanic-victim/ida-lefebvre.html,LEFEBVRE,Miss,Ida,12-26-1908,,4-15-1912,12-26-1908,C,3,3,1
1434,"NAVRATIL, Master Michel Marcel ",0,1,male,3,2nd Class Passenger,2,230080,Southampton,,D ,£26,,1,/titanic-survivor/michel-marcel-navratil.html,NAVRATIL,Master,Michel Marcel,6-12-1908,,1-30-2001,6-12-1908,C,3,1,1
1529,"PåLSSON, Miss Stina Viola ",1,0,female,3,3rd Class Passenger,3,349909,Southampton,,  ,£21 1s 6d,,0,/titanic-victim/stina-viola-palsson.html,PåLSSON,Miss,Stina Viola,6-19-1908,,4-15-1912,6-19-1908,C,3,3,1
1552,"PEACOCK, Miss Treasteall ",1,0,female,3,3rd Class Passenger,3,3101315,Southampton,,  ,£13 15s 6d,,0,/titanic-victim/treasteall-peacock.html,PEACOCK,Miss,Treasteall,,1908,4-15-1912,6-30-1908,M,3,1,1
1683,"RICHARDS, Master William Rowe ",0,1,male,3,2nd Class Passenger,2,29106,Southampton,,4,£18 15s,,1,/titanic-survivor/william-rowe-richards.html,RICHARDS,Master,William Rowe,4-01-1909,,1-09-1988,4-01-1909,C,3,1,1
47,"ANDERSSON, Master Sigvard Harald Elias ",0,1,male,4,3rd Class Passenger,3,347082,Southampton,,  ,£31 5s 6d,,0,/titanic-victim/sigvard-harald-elias-andersson.html,ANDERSSON,Master,Sigvard Harald Elias,7-21-1907,,4-15-1912,7-21-1907,C,4,4,2
160,"BECKER, Miss Marion Louise ",1,0,female,4,2nd Class Passenger,2,230136,Southampton,,11,£39,,1,/titanic-survivor/marion-louise-becker.html,BECKER,Miss,Marion Louise,12-28-1907,,2-15-1944,12-28-1907,C,4,2,1
563,"DODGE, Master Washington ",0,1,male,4,1st Class Passenger,1,33638,Southampton,,5,£81 17s 2d,,1,/titanic-survivor/washington-dodge-jr.html,DODGE,Master,Washington,9-23-1907,,12-03-1974,9-23-1907,C,4,0,2
1022,"JOHNSON, Master Harold Theodor ",0,1,male,4,3rd Class Passenger,3,347742,Southampton,,15,£11 2s 8d,,1,/titanic-survivor/harold-theodor-johnson.html,JOHNSON,Master,Harold Theodor,1-28-1908,,4-10-1968,1-28-1908,C,4,1,1
1061,"KARUN, Miss Manca ",1,0,female,4,3rd Class Passenger,3,349256,Cherbourg,,15,£13 8s 4d,,1,/titanic-survivor/manca-karun.html,KARUN,Miss,Manca,,1907,9-17-1971,6-30-1907,M,4,0,1
1111,"KINK-HEILMANN, Miss Luise Gretchen ",1,0,female,4,3rd Class Passenger,3,315153,Southampton,,2,£22 6d,,1,/titanic-survivor/luise-gretchen-kink-heilmann.html,KINK-HEILMANN,Miss,Luise Gretchen,4-08-1908,,8-25-1992,4-08-1908,C,4,0,2
1400,"MUBaRIK, Master Halim ",0,1,male,4,3rd Class Passenger,3,2661,Cherbourg,,C ,£15 4s 11d,,1,/titanic-survivor/halim-gonios-william-george-moubarek.html,MUBaRIK,Master,Halim,7-15-1907,,8-29-1975,7-15-1907,C,4,1,1
1586,"PETER / JOSEPH, Master Michael J. (""Michael Joseph"") ",0,1,male,4,3rd Class Passenger,3,2668,Cherbourg,,D ,£22 7s 2d,,1,/titanic-survivor/michael-michael-joseph-peter-joseph.html,PETER / JOSEPH,Master,"Michael J. (""Michael Joseph"")",5-11-1907,,5-18-1991,5-11-1907,C,4,1,1
1673,"RICE, Master Arthur ",0,1,male,4,3rd Class Passenger,3,382652,Queenstown,,  ,£29 2s 6d,,0,/titanic-victim/arthur-rice.html,RICE,Master,Arthur,,1908,4-15-1912,6-30-1908,M,3,4,1
1758,"SAGE, Master Thomas Henry ",0,1,male,4,3rd Class Passenger,3,2343,Southampton,,  ,£69 11s,,0,/titanic-victim/thomas-henry-sage.html,SAGE,Master,Thomas Henry,,1907,4-15-1912,6-30-1907,M,4,8,2
1779,"SANDSTRöM, Miss Marguerite Rut ",1,0,female,4,3rd Class Passenger,3,9549,Southampton,,13,£16 14s,,1,/titanic-survivor/marguerite-rut-sandstrom.html,SANDSTRöM,Miss,Marguerite Rut,3-23-1908,,8-15-1963,3-23-1908,C,4,1,1
2114,"WELLS, Miss Joan ",1,0,female,4,2nd Class Passenger,2,29103,Southampton,,14,£23,,1,/titanic-survivor/joan-wells.html,WELLS,Miss,Joan,2-26-1908,,7-10-1933,2-26-1908,C,4,1,1
2118,"WEST, Miss Constance Mirium ",1,0,female,4,2nd Class Passenger,2,34651,Southampton,,10,£27 15s,,1,/titanic-survivor/constance-mirium-west.html,WEST,Miss,Constance Mirium,8-13-1907,,9-12-1963,8-13-1907,C,4,1,2
77,"ASPLUND, Master Carl Edgar ",0,1,male,5,3rd Class Passenger,3,347077,Southampton,,  ,£31 7s 9d,,0,/titanic-victim/carl-edgar-asplund.html,ASPLUND,Master,Carl Edgar,10-21-1906,,4-15-1912,10-21-1906,C,5,4,2
81,"ASPLUND, Miss Lillian Gertrud ",1,0,female,5,3rd Class Passenger,3,347077,Southampton,,15,£31 7s 9d,,1,/titanic-survivor/lillian-gertrud-asplund.html,ASPLUND,Miss,Lillian Gertrud,10-21-1906,,5-06-2006,10-21-1906,C,5,4,2
102,"BACLINI, Miss Marie Catherine ",1,0,female,5,3rd Class Passenger,3,2666,Cherbourg,,C ,£19 5s 2d,,1,/titanic-survivor/marie-baclini.html,BACLINI,Miss,Marie Catherine,9-21-1906,,6-27-1982,9-21-1906,C,5,2,1
624,"EMANUEL, Miss Virginia Ethel ",1,0,female,5,3rd Class Passenger,3,364516,Southampton,,13,£12 9s 6d,,1,/titanic-survivor/virginia-ethel-emanuel.html,EMANUEL,Miss,Virginia Ethel,,1907, ,6-30-1907,M,4,0,0
1163,"LEFEBVRE, Master Henry ",0,1,male,5,3rd Class Passenger,3,4133,Southampton,,  ,£25 9s 4d,,0,/titanic-victim/henry-lefebvre.html,LEFEBVRE,Master,Henry,7-14-1906,,4-15-1912,7-14-1906,C,5,3,1
1852,"SKOOG, Master Harald ",0,1,male,5,3rd Class Passenger,3,347088,Southampton,,  ,£27 18s,,0,/titanic-victim/harald-skoog.html,SKOOG,Master,Harald,8-22-1906,,4-15-1912,8-22-1906,C,5,3,2
48,"ANDERSSON, Miss Ebba Iris Alfrida ",1,0,female,6,3rd Class Passenger,3,347082,Southampton,,  ,£31 5s 6d,,0,/titanic-victim/ebba-iris-alfrida-andersson.html,ANDERSSON,Miss,Ebba Iris Alfrida,11-14-1905,,4-15-1912,11-14-1905,C,6,4,2
834,"HARPER, Miss Annie Jessie ",1,0,female,6,2nd Class Passenger,2,248727,Southampton,,11,£33,,1,/titanic-survivor/nina-harper.html,HARPER,Miss,Annie Jessie,1-03-1906,,4-10-1986,1-03-1906,C,6,0,1
1528,"PåLSSON, Master Paul Folke ",0,1,male,6,3rd Class Passenger,3,349909,Southampton,,  ,£21 1s 6d,,0,/titanic-victim/paul-folke-palsson.html,PåLSSON,Master,Paul Folke,4-14-1906,,4-15-1912,4-14-1906,C,6,3,1
1902,"SPEDDEN, Master Robert Douglas ",0,1,male,6,1st Class Passenger,1,16966,Cherbourg,,3,£134 10s,,1,/titanic-survivor/robert-douglas-spedden.html,SPEDDEN,Master,Robert Douglas,11-19-1905,,8-08-1915,11-19-1905,C,6,0,2
229,"BOULOS, Miss Nourelain ",1,0,female,7,3rd Class Passenger,3,2678,Cherbourg,,  ,£15 4s 11d,,0,/titanic-victim/nourelain-boulos.html,BOULOS,Miss,Nourelain,,1902,4-15-1912,6-30-1902,M,9,1,1
675,"FORD, Miss Robina Maggie ",1,0,female,7,3rd Class Passenger,3,6608,Southampton,,  ,£34 7s 6d,,0,/titanic-victim/robina-maggie-ford.html,FORD,Miss,Robina Maggie,4-25-1904,,4-15-1912,4-25-1904,C,7,2,2
852,"HART, Miss Eva Miriam ",1,0,female,7,2nd Class Passenger,2,13529,Southampton,,14,£26 5s,,1,/titanic-survivor/eva-hart.html,HART,Miss,Eva Miriam,1-31-1905,,2-14-1996,1-31-1905,C,7,0,2
1029,"JOHNSTON, Miss Catherine Nellie ",1,0,female,7,3rd Class Passenger,3,6607,Southampton,,  ,£23 9s,,0,/titanic-victim/catherine-nellie-johnston.html,JOHNSTON,Miss,Catherine Nellie,2-19-1905,,4-15-1912,2-19-1905,C,7,1,2
1374,"MOOR, Master Meier ",0,1,male,7,3rd Class Passenger,3,392096,Southampton,,14,£12 9s 6d,,1,/titanic-survivor/meier-moor.html,MOOR,Master,Meier,11-15-1904,,4-15-1975,11-15-1904,C,7,0,1
1401,"MUBaRIK, Master Jirjis ",0,1,male,7,3rd Class Passenger,3,2661,Cherbourg,,C ,£15 4s 11d,,1,/titanic-survivor/gerios-george-moubarek.html,MUBaRIK,Master,Jirjis,11-27-1904,,10-24-1979,11-27-1904,C,7,1,1
1534,"PANULA, Master Juha Niilo ",0,1,male,7,3rd Class Passenger,3,3101295,Southampton,,  ,£39 13s 9d,,0,/titanic-victim/juha-niilo-panula.html,PANULA,Master,Juha Niilo,9-01-1904,,4-15-1912,9-01-1904,C,7,4,1
1674,"RICE, Master Eric ",0,1,male,7,3rd Class Passenger,3,382652,Queenstown,,  ,£29 2s 6d,,0,/titanic-victim/eric-rice.html,RICE,Master,Eric,,,4-15-1912,,A,7,4,1
1759,"SAGE, Miss Constance Gladys ",1,0,female,7,3rd Class Passenger,3,2343,Southampton,,  ,£69 11s,,0,/titanic-victim/constance-gladys-sage.html,SAGE,Miss,Constance Gladys,,1904,4-15-1912,6-30-1904,M,7,8,2
420,"COLLYER, Miss Marjorie Lottie ",1,0,female,8,2nd Class Passenger,2,31921,Southampton,,14,£26 5s,,1,/titanic-survivor/marjorie-collyer.html,COLLYER,Miss,Marjorie Lottie,1-28-1904,,2-26-1965,1-28-1904,C,8,0,2
586,"DREW, Master Marshall Brines ",0,1,male,8,2nd Class Passenger,2,28220,Southampton,,10,£32 10s,,1,/titanic-survivor/marshall-brines-drew.html,DREW,Master,Marshall Brines,3-30-1904,,6-06-1986,3-30-1904,C,8,0,2
1165,"LEFEBVRE, Miss Jeannie ",1,0,female,8,3rd Class Passenger,3,4133,Southampton,,  ,£25 9s 4d,,0,/titanic-victim/jeannie-lefebvre.html,LEFEBVRE,Miss,Jeannie,10-14-1903,,4-15-1912,10-14-1903,C,8,3,1
1530,"PåLSSON, Miss Torborg Danira ",1,0,female,8,3rd Class Passenger,3,349909,Southampton,,  ,£21 1s 6d,,0,/titanic-victim/torborg-danira-palsson.html,PåLSSON,Miss,Torborg Danira,12-19-1903,,4-15-1912,12-19-1903,C,8,3,1
1646,"QUICK, Miss Winifred Vera ",1,0,female,8,2nd Class Passenger,2,26360,Southampton,,11,£26,,1,/titanic-survivor/winifred-vera-quick.html,QUICK,Miss,Winifred Vera,1-23-1904,,7-04-2002,1-23-1904,C,8,1,1
1676,"RICE, Master George Hugh ",0,1,male,8,3rd Class Passenger,3,382652,Queenstown,,  ,£29 2s 6d,,0,/titanic-victim/george-hugh-rice.html,RICE,Master,George Hugh,11-30-1903,,4-15-1912,11-30-1903,C,8,4,1
2024,"TU'MAH, Master Jirjis Yusuf ",0,1,male,8,3rd Class Passenger,3,2650,Cherbourg,,C ,£15 4s 11d,,1,/titanic-survivor/georges-youssef-george-thomas-touma.html,TU'MAH,Master,Jirjis Yusuf,2-09-1904,,12-09-1991,2-09-1904,C,8,1,1
52,"ANDERSSON, Miss Ingeborg Constanzia ",1,0,female,9,3rd Class Passenger,3,347082,Southampton,,  ,£31 5s 6d,,0,/titanic-victim/ingeborg-constanzia-andersson.html,ANDERSSON,Miss,Ingeborg Constanzia,4-16-1902,,4-15-1912,4-16-1902,C,9,4,2
78,"ASPLUND, Master Clarence Gustaf Hugo ",0,1,male,9,3rd Class Passenger,3,347077,Southampton,,  ,£31 7s 9d,,0,/titanic-victim/clarence-gustaf-hugo-asplund.html,ASPLUND,Master,Clarence Gustaf Hugo,9-17-1902,,4-15-1912,9-17-1902,C,9,4,2
228,"BOULOS, Master Akar ",0,1,male,9,3rd Class Passenger,3,2678,Cherbourg,,  ,£15 4s 11d,,0,/titanic-victim/akar-boulos.html,BOULOS,Master,Akar,,1905,4-15-1912,6-30-1905,M,6,1,1
459,"COUTTS, Master William Loch ",0,1,male,9,3rd Class Passenger,3,37671,Southampton,,2,£15 18s,,1,/titanic-survivor/william-coutts.html,COUTTS,Master,William Loch ,10-16-1902,,12-25-1957,10-16-1902,C,9,1,1
756,"GOLDSMITH, Master Frank John William ",0,1,male,9,3rd Class Passenger,3,363291,Southampton,,C ,£20 10s 6d,,1,/titanic-survivor/frankie-goldsmith.html,GOLDSMITH,Master,Frank John William,12-19-1902,,1-27-1982,12-19-1902,C,9,0,2
761,"GOODWIN, Master Harold Victor ",0,1,male,9,3rd Class Passenger,3,2144,Southampton,,  ,£46 18s,,0,/titanic-victim/harold-victor-goodwin.html,GOODWIN,Master,Harold Victor,,,4-15-1912,,A,9,5,2
1492,"OLSEN, Master Artur Karl ",0,1,male,9,3rd Class Passenger,3,17368,Southampton,,13,£3 3s 5d,,1,/titanic-survivor/artur-karl-olsen.html,OLSEN,Master,Artur Karl,2-06-1903,,1-01-1975,2-06-1903,C,9,0,1
1854,"SKOOG, Miss Mabel ",1,0,female,9,3rd Class Passenger,3,347088,Southampton,,  ,£27 18s,,0,/titanic-victim/mabel-skoog.html,SKOOG,Miss,Mabel,7-22-1902,,4-15-1912,7-22-1902,C,9,3,2
2025,"TU'MAH, Miss Mariyam ",1,0,female,9,3rd Class Passenger,3,2650,Cherbourg,,C ,£15 4s 11d,,1,/titanic-survivor/maria-youssef-mary-thomas-touma.html,TU'MAH,Miss,Mariyam,10-16-1902,,8-12-1953,10-16-1902,C,9,1,1
2040,"VAN BILLIARD, Master Walter John ",0,1,male,9,3rd Class Passenger,3,851,Southampton,, [1],£14 10s,,0,/titanic-victim/walter-john-van-billiard.html,VAN BILLIARD,Master,Walter John,2-28-1903,,4-15-1912,2-28-1903,C,9,1,1
764,"GOODWIN, Miss Jessie Allis ",1,0,female,10,3rd Class Passenger,3,2144,Southampton,,  ,£46 18s,,0,/titanic-victim/jessie-allis-goodwin.html,GOODWIN,Miss,Jessie Allis,,,4-15-1912,,A,10,5,2
1672,"RICE, Master Albert ",0,1,male,10,3rd Class Passenger,3,382652,Queenstown,,  ,£29 2s 6d,,0,/titanic-victim/albert-rice.html,RICE,Master,Albert,,1902,4-15-1912,6-30-1902,M,9,4,1
1761,"SAGE, Miss Elizabeth Ada ",1,0,female,10,3rd Class Passenger,3,2343,Southampton,,  ,£69 11s,,0,/titanic-victim/elizabeth-ada-sage.html,SAGE,Miss,Elizabeth Ada,11-09-1901,,4-15-1912,11-09-1901,C,10,8,2
1807,"SEMAN, Master Betros ",0,1,male,10,3rd Class Passenger,3,2622,Cherbourg,,  ,£4 3d,,0,/titanic-victim/betros-seman.html,SEMAN,Master,Betros,,,4-15-1912,,A,10,0,0
2039,"VAN BILLIARD, Master James William ",0,1,male,10,3rd Class Passenger,3,851,Southampton,,  ,£14 10s,,0,/titanic-victim/james-william-van-billiard.html,VAN BILLIARD,Master,James William,8-20-1901,,4-15-1912,8-20-1901,C,10,1,1
2046,"VAN IMPE, Miss Catharina ",1,0,female,10,3rd Class Passenger,3,345773,Southampton,,  ,£24 3s,,0,/titanic-victim/catharina-van-impe.html,VAN IMPE,Miss,Catharina,7-22-1901,,4-15-1912,7-22-1901,C,10,0,2
53,"ANDERSSON, Miss Sigrid Elisabeth ",1,0,female,11,3rd Class Passenger,3,347082,Southampton,,  ,£31 5s 6d,,0,/titanic-victim/sigrid-elisabeth-andersson.html,ANDERSSON,Miss,Sigrid Elisabeth,4-16-1900,,4-15-1912,4-16-1900,C,11,4,2
345,"CARTER, Master William Thornton II ",0,1,male,11,1st Class Passenger,1,113760,Southampton,,4,£120,,1,/titanic-survivor/william-thornton-carter.html,CARTER,Master,William Thornton II,9-14-1900,,1-28-1985,9-14-1900,C,11,1,2
763,"GOODWIN, Master William Frederick ",0,1,male,11,3rd Class Passenger,3,2144,Southampton,,  ,£46 18s,,0,/titanic-victim/william-frederick-goodwin.html,GOODWIN,Master,William Frederick,,,4-15-1912,,A,11,5,2
862,"HASSAN ABILMONA, Mr Houssein Mohamed ",0,1,male,11,3rd Class Passenger,3,2699,Cherbourg,,  ,£18 15s 9d,,0,/titanic-victim/houssein-abilmona.html,HASSAN ABILMONA,Mr,Houssein Mohamed,,,4-15-1912,,A,11,0,0
1456,"NiQuLA YaRID, Master Ilyas ",0,1,male,11,3rd Class Passenger,3,2651,Cherbourg,,C ,£11 4s 10d,,1,/titanic-survivor/elias-louis-garrett-nicola-yarred.html,NiQuLA YaRID,Master,Ilyas,4-16-1900,,5-31-1981,4-16-1900,C,11,1,0
